Location name,Amount spent (JPY)
Aichi Prefecture,36302
Akita Prefecture,2724
Aomori Prefecture,4039
Chiba Prefecture,29858
Ehime Prefecture,3553
Fukui Prefecture,3481
Fukuoka Prefecture,49585
Fukushima Prefecture,6960
Gifu Prefecture,7612
Gunma Prefecture,7165
Hiroshima Prefecture,9846
Hokkaido,19685
Hyōgo Prefecture,24497
Ibaraki Prefecture,8554
Ishikawa Prefecture,4429
Iwate Prefecture,6237
Kagawa Prefecture,5296
Kagoshima Prefecture,4832
Kanagawa Prefecture,64138
Kumamoto Prefecture,8571
Kyoto Prefecture,17160
Kōchi Prefecture,1837
Mie Prefecture,5926
Miyagi Prefecture,16295
Miyazaki Prefecture,3447
Nagano Prefecture,6929
Nagasaki Prefecture,5438
Nara Prefecture,5670
Niigata Prefecture,6929
Okayama Prefecture,8551
Okinawa Prefecture,12031
Osaka Prefecture,51885
Saga Prefecture,4467
Saitama Prefecture,28240
Shiga Prefecture,5611
Shimane Prefecture,2124
Shizuoka Prefecture,12993
Tochigi Prefecture,6440
Tokushima Prefecture,2033
Tokyo,99717
Tottori Prefecture,1669
Toyama Prefecture,3027
Unknown,≤100
Wakayama Prefecture,3311
Yamagata Prefecture,3961
Yamaguchi Prefecture,4294
Yamanashi Prefecture,2926
Ōita Prefecture,5300
