Location name,Amount spent (RON)
Alba County,265
Arad County,473
Argeș County,512
Bacău County,440
Bihor County,681
Bistrița-Năsăud County,255
Botoșani County,242
Brașov County,578
Brăila County,220
Bucharest,2433
Buzău County,288
Caraș-Severin County,212
Cluj County,1106
Constanța County,585
Covasna County,186
Călărași County,247
Dolj County,412
Dâmbovița County,360
Galați County,375
Giurgiu County,140
Gorj County,404
Harghita County,298
Hunedoara County,508
Ialomița County,514
Iași County,1424
Ilfov County,350
Maramureș County,436
Mehedinți County,178
Mureș County,611
Neamț County,456
Olt County,226
Prahova County,524
Satu Mare County,392
Sibiu County,327
Suceava County,456
Sălaj County,178
Teleorman County,166
Timiș County,617
Tulcea County,134
Unknown,≤100
Vaslui County,208
Vrancea County,206
Vâlcea County,475
