Location name,Amount spent (AUD)
Australian Capital Territory,1067
Jervis Bay Territory,≤100
New South Wales,15365
Northern Territory,426
Queensland,11927
South Australia,4030
Tasmania,2054
Unknown,≤100
Victoria,12900
Western Australia,7716
