Location name,Amount spent (VND)
An Giang Province,74012
Bà Rịa–Vũng Tàu Province,66345
Bình Dương Province,105122
Bình Phước Province,82038
Bình Thuận Province,119257
Bình Định Province,117966
Bạc Liêu Province,34098
Bắc Giang Province,152758
Bắc Kạn Province,38960
Bắc Ninh Province,149927
Bến Tre Province,40593
Cao Bằng Province,40603
Cà Mau Province,43129
Cần Thơ,37343
Da Nang,204658
Gia Lai Province,102348
Haiphong,130947
Ho Chi Minh City,599618
Hà Giang Province,49348
Hà Nam Province,61147
Hà Tĩnh Province,116035
Hòa Bình Province,72599
Hưng Yên Province,89370
Hải Dương Province,181168
Hậu Giang Province,20972
Khánh Hòa Province,62262
Kiên Giang Province,62151
Kon Tum Province,32301
Lai Châu Province,10220
Long An Province,40180
Lào Cai Province,48467
Lâm Đồng Province,78657
Lạng Sơn Province,79818
Nam Định Province,112564
Nghệ An Province,288673
Ninh Bình Province,70376
Ninh Thuận Province,26226
Phú Thọ Province,313965
Phú Yên Province,53468
Quảng Bình Province,74817
Quảng Nam Province,285121
Quảng Ngãi Province,118782
Quảng Ninh Province,67357
Quảng Trị Province,53202
Sóc Trăng Province,45920
Sơn La Province,78249
Thanh Hóa Province,1118702
Thái Bình Province,121197
Thái Nguyên Province,116833
Thừa Thiên–Huế Province,208592
Tiền Giang Province,51768
Trà Vinh Province,35906
Tuyên Quang Province,262991
Tây Ninh Province,64655
Unknown,≤100
Vĩnh Long Province,38234
Vĩnh Phúc Province,114769
Yên Bái Province,94805
Điện Biên Province,40030
Đắk Lắk Province,160711
Đắk Nông Province,59075
Đồng Nai Province,156536
Đồng Tháp Province,47281
