Location name,Amount spent (INR)
Andaman and Nicobar Islands,263
Andhra Pradesh,48940
Arunachal Pradesh,3494
Assam,39171
Bihar,112938
Chandigarh,1858
Chhattisgarh,28334
Dadra and Nagar Haveli,13337
Delhi,1455980
Goa,2350
Gujarat,2730560
Haryana,63903
Himachal Pradesh,18461
Jammu and Kashmir,14115
Jharkhand,22869
Karnataka,96410
Kerala,28404
Lakshadweep,≤100
Madhya Pradesh,90120
Maharashtra,174872
Manipur,9418
Meghalaya,15292
Mizoram,1383
Nagaland,1532
Odisha,19933
Puducherry,1874
Punjab region,36749
Rajasthan,110249
Sikkim,1851
Tamil Nadu,40264
Telangana,37915
Tripura,9610
Unknown,671
Uttar Pradesh,190144
Uttarakhand,18068
West Bengal,69575
