Location name,Amount spent (EGP)
Al Sharqia Governorate,1745
Alexandria Governorate,908
Aswan Governorate,219
Asyut Governorate,523
Beheira Governorate,813
Beni Suef Governorate,370
Cairo Governorate,2837
Dakahlia Governorate,1447
Damietta Governorate,514
Faiyum Governorate,388
Gharbia Governorate,1732
Giza Governorate,808
Ismailia Governorate,324
Kafr el-Sheikh Governorate,810
Luxor Governorate,129
Matrouh Governorate,≤100
Minya Governorate,856
Monufia Governorate,1036
New Valley Governorate,≤100
North Sinai Governorate,126
Port Said Governorate,184
Qalyubia Governorate,998
Qena Governorate,377
Red Sea Governorate,127
Sohag Governorate,593
South Sinai Governorate,≤100
Suez Governorate,165
Unknown,≤100
