Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1255
Bicol Region,6752
Cagayan Valley,5302
Calabarzon,25253
Caraga,2920
Central Luzon,21877
Central Visayas,10423
Cordillera Administrative Region,2652
Davao Region,6574
Eastern Visayas,5927
Ilocos Region,8690
Metro Manila,31638
Mimaropa,3505
Northern Mindanao,5493
Soccsksargen,5015
Unknown,≤100
Western Visayas,11216
Zamboanga Peninsula,3524
