Location name,Amount spent (JPY)
Aichi Prefecture,16222
Akita Prefecture,2335
Aomori Prefecture,2009
Chiba Prefecture,14560
Ehime Prefecture,3207
Fukui Prefecture,1483
Fukuoka Prefecture,152634
Fukushima Prefecture,2975
Gifu Prefecture,4505
Gunma Prefecture,4178
Hiroshima Prefecture,5778
Hokkaido,12518
Hyōgo Prefecture,14311
Ibaraki Prefecture,5560
Ishikawa Prefecture,3024
Iwate Prefecture,1504
Kagawa Prefecture,2754
Kagoshima Prefecture,3486
Kanagawa Prefecture,24105
Kumamoto Prefecture,9355
Kyoto Prefecture,8134
Kōchi Prefecture,1482
Mie Prefecture,3528
Miyagi Prefecture,11320
Miyazaki Prefecture,2236
Nagano Prefecture,5431
Nagasaki Prefecture,6091
Nara Prefecture,3789
Niigata Prefecture,4026
Okayama Prefecture,4582
Okinawa Prefecture,5154
Osaka Prefecture,29838
Saga Prefecture,9031
Saitama Prefecture,15294
Shiga Prefecture,3377
Shimane Prefecture,2865
Shizuoka Prefecture,7048
Tochigi Prefecture,3467
Tokushima Prefecture,2274
Tokyo,136425
Tottori Prefecture,3096
Toyama Prefecture,1631
Unknown,≤100
Wakayama Prefecture,2588
Yamagata Prefecture,2068
Yamaguchi Prefecture,3072
Yamanashi Prefecture,1801
Ōita Prefecture,29564
