Location name,Amount spent (GTQ)
Alta Verapaz Department,≤100
Baja Verapaz Department,≤100
Chimaltenango Department,≤100
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,≤100
Guatemala Department,3418
Huehuetenango Department,161
Izabal Department,≤100
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,1947
Quiché Department,103
Retalhuleu Department,≤100
Sacatepéquez Department,1243
San Marcos Department,288
Santa Rosa Department,≤100
Sololá Department,945
Suchitepéquez Department,112
Totonicapán Department,655
Unknown,≤100
Zacapa Department,≤100
