Location name,Amount spent (PLN)
Greater Poland Voivodeship,5827
Kuyavian-Pomeranian Voivodeship,3681
Lesser Poland Voivodeship,5438
Lower Silesian Voivodeship,6063
Lublin Voivodeship,2229
Lubusz Voivodeship,2752
Masovian Voivodeship,10026
Opole Voivodeship,1246
Podkarpackie Voivodeship,2475
Podlaskie Voivodeship,1142
Pomeranian Voivodeship,4246
Silesian Voivodeship,6812
Unknown,≤100
Warmian-Masurian Voivodeship,2254
West Pomeranian Voivodeship,3242
Łódź Voivodeship,4516
Świętokrzyskie Voivodeship,1529
