Location name,Amount spent (THB)
Amnat Charoen,123
Ang Thong,≤100
Ayutthaya,1412
Bangkok,24134
Bueng Kan,257
Buriram,432
Chachoengsao,293
Chai Nat,≤100
Chaiyaphum,1039
Chanthaburi,1022
Chiang Mai,931
Chiang Rai,865
Chon Buri,2790
Chumphon,1064
Kalasin,285
Kamphaeng Phet,226
Kanchanaburi,566
Khon Kaen,3371
Krabi,411
Lampang,285
Lamphun,151
Loei,166
Lop Buri,207
Mae Hong Son,≤100
Maha Sarakham,388
Mukdahan,341
Nakhon Nayok,≤100
Nakhon Pathom,1210
Nakhon Phanom,4481
Nakhon Ratchasima,1503
Nakhon Sawan,1117
Nakhon Si Thammarat,3212
Nan,120
Narathiwat,376
Nong Bua Lam Phu,253
Nong Khai,167
Nonthaburi,1178
Pathum Thani,1124
Pattani,822
Phangnga,270
Phatthalung,1658
Phayao,217
Phetchabun,238
Phetchaburi,244
Phichit,1876
Phitsanulok,3177
Phrae,135
Phuket,2689
Prachin Buri,182
Prachuap Khiri Khan,282
Ranong,191
Ratchaburi,551
Rayong,940
Roi Et,341
Sa Kaeo,177
Sakon Nakhon,1798
Samut Prakan,2491
Samut Sakhon,1426
Samut Songkhram,1684
Saraburi,317
Satun,250
Sing Buri,≤100
Sisaket,531
Songkhla,3255
Sukhothai,420
Suphan Buri,330
Surat Thani,13657
Surin,486
Tak,160
Trang,662
Trat,271
Ubon Ratchathani,838
Udon Thani,408
Unknown,≤100
Uthai Thani,124
Uttaradit,143
Yala Province,354
Yasothon,244
