Location name,Amount spent (PLN)
Greater Poland Voivodeship,5902
Kuyavian-Pomeranian Voivodeship,3365
Lesser Poland Voivodeship,5761
Lower Silesian Voivodeship,5485
Lublin Voivodeship,2720
Lubusz Voivodeship,1982
Masovian Voivodeship,11063
Opole Voivodeship,1275
Podkarpackie Voivodeship,2721
Podlaskie Voivodeship,1378
Pomeranian Voivodeship,4198
Silesian Voivodeship,6660
Unknown,≤100
Warmian-Masurian Voivodeship,2014
West Pomeranian Voivodeship,2966
Łódź Voivodeship,3657
Świętokrzyskie Voivodeship,1569
