Location name,Amount spent (PLN)
Greater Poland Voivodeship,4324
Kuyavian-Pomeranian Voivodeship,2382
Lesser Poland Voivodeship,4125
Lower Silesian Voivodeship,3580
Lublin Voivodeship,1968
Lubusz Voivodeship,928
Masovian Voivodeship,9082
Opole Voivodeship,796
Podkarpackie Voivodeship,1667
Podlaskie Voivodeship,1049
Pomeranian Voivodeship,3310
Silesian Voivodeship,4255
Unknown,≤100
Warmian-Masurian Voivodeship,3141
West Pomeranian Voivodeship,1803
Łódź Voivodeship,3096
Świętokrzyskie Voivodeship,1017
