Location name,Amount spent (GTQ)
Alta Verapaz Department,585
Baja Verapaz Department,126
Chimaltenango Department,334
Chiquimula Department,259
El Progreso Department,118
Escuintla Department,789
Guatemala Department,7533
Huehuetenango Department,514
Izabal Department,412
Jalapa Department,178
Jutiapa Department,271
Petén Department,265
Quetzaltenango Department,822
Quiché Department,344
Retalhuleu Department,239
Sacatepéquez Department,401
San Marcos Department,1231
Santa Rosa Department,203
Sololá Department,231
Suchitepéquez Department,393
Totonicapán Department,197
Unknown,≤100
Zacapa Department,179
