Location name,Amount spent (CAD)
Alberta,16787
British Columbia,14204
Manitoba,3894
New Brunswick,1466
Newfoundland and Labrador,1066
Northwest Territories,≤100
Nova Scotia,1700
Nunavut,≤100
Ontario,30185
Prince Edward Island,1138
Quebec,25511
Saskatchewan,2239
Unknown,≤100
Yukon,≤100
