Location name,Amount spent (HUF)
Baranya County,97188
Borsod-Abaúj-Zemplén County,144223
Budapest,645847
Bács-Kiskun County,149034
Békés County,93113
Csongrád County,175323
Fejér County,117953
Győr-Moson-Sopron County,134479
Hajdú-Bihar County,127262
Heves County,94420
Jász-Nagykun-Szolnok County,86305
Komárom-Esztergom County,80074
Nógrád County,54510
Pest County,297242
Somogy County,68820
Szabolcs-Szatmár-Bereg County,108191
Tolna County,55712
Unknown,≤100
Vas County,67252
Veszprém County,88699
Zala County,85346
