Page ID,Page name,Disclaimer,Amount spent (TND),Number of ads in Library
110122358477613,TRT Afrika Français,These ads ran without a disclaimer,≤100,1
1745861032185440,alqatiba - الكَتيبة,Walid Mejri,≤100,1
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,2
517098898323855,Jeunes Leaders de Tunis - القيادات الشّابّة بتــونس,Jeunes Leaders de Tunis - القيادات الشّابّة بتــونس,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,≤100,1
2354017254707192,Learning English with Oxford,These ads ran without a disclaimer,≤100,1
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,1
105986175239619,Sea Creature Love,These ads ran without a disclaimer,≤100,1
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,2
100525605800075,Meet and Greet,These ads ran without a disclaimer,≤100,1
106824494733100,Simbaly - Lifestyle,These ads ran without a disclaimer,≤100,1
423609701387941,Peachbruh,These ads ran without a disclaimer,≤100,2
122919817376794,Ywj-049,These ads ran without a disclaimer,≤100,1
10606591490,TIME,These ads ran without a disclaimer,≤100,2
101388509327100,Extra famous,These ads ran without a disclaimer,≤100,1
