Location name,Amount spent (USD)
Azuay Province,437
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,125
Chimborazo Province,195
Cotopaxi Province,176
El Oro Province,557
Esmeraldas Province,247
Galápagos Province,104
Guayas Province,2889
Imbabura Province,244
Loja Province,293
Los Ríos Province,482
Manabí Province,999
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1319
Santa Elena Province,303
Santo Domingo de los Tsáchilas Province,275
Sucumbíos Province,108
Tungurahua Province,355
Unknown,≤100
Zamora-Chinchipe Province,≤100
