Location name,Amount spent (JPY)
Aichi Prefecture,34602
Akita Prefecture,2879
Aomori Prefecture,5220
Chiba Prefecture,28256
Ehime Prefecture,4021
Fukui Prefecture,2899
Fukuoka Prefecture,40549
Fukushima Prefecture,6992
Gifu Prefecture,7219
Gunma Prefecture,6729
Hiroshima Prefecture,10487
Hokkaido,20732
Hyōgo Prefecture,24401
Ibaraki Prefecture,9806
Ishikawa Prefecture,4467
Iwate Prefecture,5402
Kagawa Prefecture,5187
Kagoshima Prefecture,4534
Kanagawa Prefecture,55115
Kumamoto Prefecture,7516
Kyoto Prefecture,15010
Kōchi Prefecture,2140
Mie Prefecture,5969
Miyagi Prefecture,15990
Miyazaki Prefecture,3458
Nagano Prefecture,6632
Nagasaki Prefecture,5315
Nara Prefecture,4652
Niigata Prefecture,6404
Okayama Prefecture,8572
Okinawa Prefecture,9689
Osaka Prefecture,48898
Saga Prefecture,3935
Saitama Prefecture,30542
Shiga Prefecture,4840
Shimane Prefecture,2020
Shizuoka Prefecture,12859
Tochigi Prefecture,6276
Tokushima Prefecture,1962
Tokyo,81722
Tottori Prefecture,1704
Toyama Prefecture,2786
Unknown,≤100
Wakayama Prefecture,2879
Yamagata Prefecture,3991
Yamaguchi Prefecture,5052
Yamanashi Prefecture,3089
Ōita Prefecture,5204
