Location name,Amount spent (INR)
Andaman and Nicobar Islands,201
Andhra Pradesh,148300
Arunachal Pradesh,1649
Assam,18557
Bihar,72588
Chandigarh,3254
Chhattisgarh,178160
Dadra and Nagar Haveli,705
Delhi,41249
Goa,2899
Gujarat,51849
Haryana,40508
Himachal Pradesh,11351
Jammu and Kashmir,7831
Jharkhand,18041
Karnataka,61450
Kerala,11660
Lakshadweep,≤100
Madhya Pradesh,297187
Maharashtra,214844
Manipur,406
Meghalaya,908
Mizoram,1638
Nagaland,701
Odisha,11876
Puducherry,505
Punjab region,34141
Rajasthan,395232
Sikkim,752
Tamil Nadu,86541
Telangana,112232
Tripura,1769
Unknown,≤100
Uttar Pradesh,113727
Uttarakhand,12712
West Bengal,43546
