Location name,Amount spent (HUF)
Baranya County,127184
Borsod-Abaúj-Zemplén County,192011
Budapest,799467
Bács-Kiskun County,145426
Békés County,101529
Csongrád County,155152
Fejér County,121870
Győr-Moson-Sopron County,137497
Hajdú-Bihar County,177899
Heves County,92213
Jász-Nagykun-Szolnok County,126343
Komárom-Esztergom County,97374
Nógrád County,52688
Pest County,350564
Somogy County,83264
Szabolcs-Szatmár-Bereg County,146248
Tolna County,63144
Unknown,≤100
Vas County,71219
Veszprém County,92684
Zala County,77241
