Location name,Amount spent (IDR)
Aceh,2495630
Bali,2188098
Bangka–Belitung Islands,299918
Banten,3146767
Bengkulu,480955
Central Java,18743882
Central Kalimantan,656790
Central Sulawesi,1603507
East Java,19002915
East Kalimantan,2179230
East Nusa Tenggara,3232473
Gorontalo,1354528
Jakarta,19241934
Jambi,1579178
Lampung,3540561
Maluku,1306053
North Kalimantan,370029
North Maluku,362347
North Sulawesi,2313793
North Sumatra,4960778
Papua (province),613654
Riau,1676510
Riau Islands Province,640533
South Kalimantan,1775740
South Sulawesi,5283019
South Sumatra,3606029
Southeast Sulawesi,1571330
Special Region of Yogyakarta,2747542
Unknown,11694
West Java,18216362
West Kalimantan,2063223
West Nusa Tenggara,2926848
West Papua,264856
West Sulawesi,346350
West Sumatra,1903726
