Location name,Amount spent (RON)
Alba County,627
Arad County,1092
Argeș County,1379
Bacău County,912
Bihor County,1240
Bistrița-Năsăud County,1534
Botoșani County,500
Brașov County,1706
Brăila County,572
Bucharest,5095
Buzău County,819
Caraș-Severin County,421
Cluj County,1777
Constanța County,1206
Covasna County,422
Călărași County,338
Dolj County,1114
Dâmbovița County,712
Galați County,828
Giurgiu County,368
Gorj County,812
Harghita County,673
Hunedoara County,749
Ialomița County,312
Iași County,1697
Ilfov County,932
Maramureș County,1072
Mehedinți County,387
Mureș County,1112
Neamț County,1230
Olt County,471
Prahova County,975
Satu Mare County,569
Sibiu County,840
Suceava County,887
Sălaj County,398
Teleorman County,456
Timiș County,1456
Tulcea County,293
Unknown,≤100
Vaslui County,438
Vrancea County,551
Vâlcea County,608
