Location name,Amount spent (IDR)
Aceh,1240471
Bali,1651427
Bangka–Belitung Islands,420716
Banten,2065249
Bengkulu,579386
Central Java,7718136
Central Kalimantan,597138
Central Sulawesi,729267
East Java,8588196
East Kalimantan,1595807
East Nusa Tenggara,961744
Gorontalo,362673
Jakarta,5657391
Jambi,676450
Lampung,2822345
Maluku,585463
North Kalimantan,265096
North Maluku,394873
North Sulawesi,1702156
North Sumatra,2279675
Papua (province),592142
Riau,1526684
Riau Islands Province,1146275
South Kalimantan,885080
South Sulawesi,3722800
South Sumatra,2046199
Southeast Sulawesi,520287
Special Region of Yogyakarta,959250
Unknown,735
West Java,8217203
West Kalimantan,1991751
West Nusa Tenggara,1077817
West Papua,292989
West Sulawesi,264449
West Sumatra,1847386
