Location name,Amount spent (TRY)
Adana Province,11451
Adıyaman Province,1034
Afyonkarahisar Province,3261
Aksaray Province,7593
Amasya Province,1229
Ankara Province,22447
Antalya Province,7628
Ardahan Province,405
Artvin Province,1561
Aydın Province,2637
Ağrı Province,441
Balıkesir Province,4786
Bartın Province,729
Batman Province,1257
Bayburt Province,254
Bilecik Province,558
Bingöl Province,341
Bitlis Province,478
Bolu Province,1014
Burdur Province,759
Bursa Province,9114
Denizli Province,3827
Diyarbakır Province,2152
Düzce Province,1073
Edirne Province,628
Elazığ Province,1064
Erzincan Province,1798
Erzurum Province,1280
Eskişehir Province,4198
Gaziantep Province,6179
Giresun Province,4346
Gümüşhane Province,348
Hakkâri Province,177
Hatay Province,4217
Isparta Province,1880
Istanbul Province,131910
Iğdır Province,209
Kahramanmaraş Province,2425
Karabük Province,1964
Karaman Province,1159
Kars Province,363
Kastamonu Province,6651
Kayseri Province,5230
Kilis Province,338
Kocaeli Province,6215
Konya Province,14131
Kütahya Province,1527
Kırklareli Province,856
Kırıkkale Province,1271
Kırşehir Province,1213
Malatya Province,1552
Manisa Province,7200
Mardin Province,1158
Mersin Province,33721
Muğla Province,2538
Muş Province,291
Nevşehir Province,770
Niğde Province,1221
Ordu Province,4109
Osmaniye Province,2203
Rize Province,2686
Sakarya Province,1959
Samsun Province,8588
Siirt Province,440
Sinop Province,1219
Sivas Province,1638
Tekirdağ Province,1873
Tokat Province,3576
Trabzon Province,2912
Tunceli Province,125
Unknown,≤100
Uşak Province,2131
Van Province,1062
Yalova Province,544
Yozgat Province,1683
Zonguldak Province,2889
Çanakkale Province,2516
Çankırı Province,1147
Çorum Province,2061
İzmir Province,18156
Şanlıurfa Province,7496
Şırnak Province,530
