Page ID,Page name,Disclaimer,Amount spent (EGP),Number of ads in Library
145505648808327,Resala Charity Organization - جمعية رسالة للاعمال الخيرية,Mohamed Al Ayyat,22022,3
113390001735261,حزب مصر أكتوبر - الإسكندرية,حزب مصر أكتوبر - الإسكندرية,16595,37
384511478794856,Thndr ثاندر,These ads ran without a disclaimer,12715,8
198892435401,University of Chicago Booth School of Business,These ads ran without a disclaimer,3729,1
798673866859390,ETC TV,ETC TV,1998,29
366309956781525,Ahmed Helmy أحمد حلمى,Ahmed Helmy أحمد حلمى,1751,2
550280998481446,Rasha Kelej,Rasha Kelej,1208,10
181524565276709,الهلال الأحمر المصري - Egyptian Red Crescent,الهلال الأحمر المصري - Egyptian Red Crescent,923,3
101009088774421,حزب حماة الوطن,حزب حماة الوطن,858,3
113791238657176,قناة العربية  Al Arabiya,These ads ran without a disclaimer,813,1
102883459081121,Mohamed Taher - محمد طاهر,Mohamed Taher - محمد طاهر,808,7
107767437680846,أحمد صلاح الطاروطي,Suzie Raafat,706,1
108210648333964,محمود طاهر -Mahmoud Taher,محمود طاهر -Mahmoud Taher,692,5
1632636017007559,Mohamed Mostafa Elsallab محمد مصطفي السلاب,Mohamed Mostafa Elsallab محمد مصطفي السلاب,495,6
123170217446860,Badya - Benaya,These ads ran without a disclaimer,414,2
131814203525361,CC Plus,Nourhan Osama,389,4
1934139156895621,د.خالد قنديل Dr.Khaled Kandel,Basel Noufal,381,2
104570177893410,أحمد علي الألفي,أحمد علي الألفي,333,3
255364564480829,Abdelmonem Emam -  عبد المنعم إمام,Abdelmonem Emam -  عبد المنعم إمام,305,3
101361307958442,Mohamad ElGarhy,محمد السيد عبد الستار,303,2
192320965049184,الإعلامية نيفين منصور,Nivine Mansour,297,3
110734497396339,محمود سامي - 𝐌𝐚𝐡𝐦𝐨𝐮𝐝 𝐒𝐚𝐦𝐲,Mahmoud Samy,290,2
106719921012688,Ahmed Bahaa Shalaby-أحمد بهاء شلبي,Integrated Marketing Communications For Media.IMC,286,8
101057888427226,النائب المهندس/ محمد لبيب - عضو مجلس النواب,محمد دياب,271,1
102471979264260,المبادرة الوطنية للمشروعات الخضراء الذكية,المبادرة الوطنية للمشروعات الخضراء الذكية,255,1
2035593490055091,النائب عمرو القطامي,سيد أحمد,245,1
273900239400893,نقابة المحامين المصرية,نقابة المحامين المصرية,240,3
112709551678127,الصفحة الرسمية لبرنامج آخر كلام,These ads ran without a disclaimer,224,2
319044774889435,المركز الإعلامي للنائب هاني خضر,النائب هاني خضر,207,2
113101433777546,Essam Diab - عصام دياب,Mahmoud Mostafa Ghorab,196,1
102752291431181,المهندس حازم الجندي - Hazem ElGendy,المهندس حازم الجندي - Hazem ElGendy,195,2
121502487925668,د/ محمد الجندي - Mohamed Elgendy,د/ محمد الجندي - Mohamed Elgendy,185,2
102765221685871,كشف فساد مجلس اداره قريه ذهبيه,كشف فساد مجلس اداره قريه ذهبيه,179,1
117197414641940,أحمد سمير - الصفحــة الرسمية,These ads ran without a disclaimer,178,1
231494494748857,أمانة المجالس النيابية والمحلية - حزب حماة الوطن أمانة القاهرة,محمد عبدالبارى الشليمى,176,4
176956519017843,الحزب المصري الديمقراطي الاجتماعي,Mona Shammakh,165,3
298138254162621,النادي الليبرالي بالقاهرة,النادي الليبرالي بالقاهرة,162,2
