Location name,Amount spent (AUD)
Australian Capital Territory,1050
Jervis Bay Territory,≤100
New South Wales,17343
Norfolk Island,≤100
Northern Territory,501
Queensland,11257
South Australia,3794
Tasmania,2021
Unknown,≤100
Victoria,20222
Western Australia,6070
