Location name,Amount spent (PKR)
Azad Kashmir,1192
Balochistan,2372
Federally Administered Tribal Areas,429
Gilgit-Baltistan,704
Islamabad Capital Territory,27677
Khyber Pakhtunkhwa,21442
Punjab,52412
Sindh,14967
Unknown,≤100
