Location name,Amount spent (TRY)
Adana Province,584
Adıyaman Province,≤100
Afyonkarahisar Province,115
Aksaray Province,118
Amasya Province,≤100
Ankara Province,1878
Antalya Province,1029
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,320
Ağrı Province,≤100
Balıkesir Province,311
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,774
Denizli Province,332
Diyarbakır Province,116
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,369
Erzurum Province,≤100
Eskişehir Province,425
Gaziantep Province,300
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,376
Isparta Province,≤100
Istanbul Province,10930
Iğdır Province,≤100
Kahramanmaraş Province,144
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,236
Kayseri Province,207
Kilis Province,≤100
Kocaeli Province,641
Konya Province,344
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,494
Manisa Province,276
Mardin Province,≤100
Mersin Province,549
Muğla Province,1365
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,148
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,157
Samsun Province,381
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,339
Tokat Province,≤100
Trabzon Province,133
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,134
Çanakkale Province,171
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1415
Şanlıurfa Province,172
Şırnak Province,≤100
