Location name,Amount spent (ISK)
Capital Region,30563
Eastern Region,1221
Northeastern Region,4139
Northwestern Region,921
Southern Peninsula,2309
Southern Region,2904
Unknown,≤100
Western Region,1222
Westfjords,2914
