Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,307
Apurímac Region,129
Arequipa Region,459
Ayacucho Region,231
Cajamarca Region,272
Callao,131
Cusco Region,417
Huancavelica Region,≤100
Huánuco Region,166
Ica Region,325
Junín Region,320
La Libertad Region,536
Lambayeque Region,310
Lima Region,2619
Loreto Region,190
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,343
Puno Region,433
San Martín Region,222
Tacna Region,139
Tumbes Region,≤100
Ucayali Region,142
Unknown,≤100
