Location name,Amount spent (USD)
Azuay Province,2109
Bolívar Province,271
Carchi Province,180
Cañar Province,555
Chimborazo Province,805
Cotopaxi Province,622
El Oro Province,2663
Esmeraldas Province,865
Galápagos Province,102
Guayas Province,7887
Imbabura Province,945
Loja Province,924
Los Ríos Province,1707
Manabí Province,3835
Morona-Santiago Province,241
Napo Province,159
Orellana Province,231
Pastaza Province,260
Pichincha Province,5060
Santa Elena Province,612
Santo Domingo de los Tsáchilas Province,1827
Sucumbíos Province,263
Tungurahua Province,1088
Unknown,≤100
Zamora-Chinchipe Province,157
