Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
120343698070515,Liberální institut,Liberální institut,7038,5
60516116431,Člověk v tísni,Člověk v tísni o.p.s.,6049,3
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,5639,22
108726857444837,České zájmy v EU,DFMG,3627,7
108298372563042,AMIGA - Agency for Migration and Adaptation,AMIGA - Agency for Migration and Adaptation,2620,3
197010357446014,Ondřej Prokop,Ondrej Prokop,2130,2
100609955039699,Corrency,Corrency,2096,7
137301989386,Aktuálně.cz,Aktuálně.cz,2076,6
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,1467,5
107898832590939,European Commission,European Commission,1455,2
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,1217,3
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,1201,19
287724754662359,HateFree Culture,HateFree Culture,989,3
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,862,8
384187235387895,Alena Schillerová,Alena Schillerová,847,2
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,772,4
307333759374560,Česká národní banka,Česká národní banka,757,1
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,699,2
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,681,4
251656685576,KDU-ČSL,KDU-ČSL,648,2
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,610,3
693725074166331,Naše zdravotnictví,Naše zdravotnictví,588,4
101661881517806,Jaroslav Komínek,Jaroslav Komínek,577,2
101722985492419,Klára Kocmanová,Česká pirátská strana,566,1
111108757492137,Libor Vondráček • Svobodní,Libor Vondráček • Svobodní,551,11
206284412716963,Plzeňský kraj,Plzeňský kraj,548,3
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,494,1
424114981002397,Český rozhlas Plus,Český rozhlas,475,24
178362315106,European Parliament,European Parliament,446,7
117823623864,Transparency International ČR,Transparency International ČR,444,7
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,389,2
112832651308203,Stejná odměna,Česká rada sociálních služeb,378,1
356451014434612,Marian Jurečka,KDU-ČSL,368,3
105446621928947,Antibiotika ztrácejí sílu,"Remmark, a.s.",366,1
52479821102,Týdeník Respekt,Týdeník Respekt,363,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,352,2
227416910669250,Komora daňových poradců ČR,Komora daňových poradců ČR,348,6
280617905401953,Alexandra Udženija,Občanská demokratická strana,342,1
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",339,4
124152241443,Čmelák - Společnost Přátel Přírody,Čmelák - Společnost přátel přírody,321,7
110269524460620,Tomáš Kratochvíl - starosta Bystrce,Tomáš Kratochvíl,308,1
