Location name,Amount spent (HNL)
Atlántida Department,476
Bay Islands Department,121
Choluteca Department,287
Colón Department,212
Comayagua Department,409
Copán Department,269
Cortés Department,1862
El Paraíso Department,224
Francisco Morazán Department,7949
Gracias a Dios Department,≤100
Intibucá Department,102
La Paz Department,≤100
Lempira Department,167
Ocotepeque Department,127
Olancho Department,316
Santa Bárbara Department,273
Unknown,≤100
Valle Department,111
Yoro Department,631
