Location name,Amount spent (IDR)
Aceh,2028646
Bali,2209036
Bangka–Belitung Islands,407779
Banten,5345994
Bengkulu,860511
Central Java,16994972
Central Kalimantan,712708
Central Sulawesi,1444823
East Java,14486060
East Kalimantan,1709799
East Nusa Tenggara,1989144
Gorontalo,1011184
Jakarta,10332818
Jambi,1439506
Lampung,4707299
Maluku,1084025
North Kalimantan,395258
North Maluku,482448
North Sulawesi,2585478
North Sumatra,5195382
Papua (province),721475
Riau,2112588
Riau Islands Province,808103
South Kalimantan,1054837
South Sulawesi,4434637
South Sumatra,5036549
Southeast Sulawesi,1252841
Special Region of Yogyakarta,990462
Unknown,18948
West Java,19752913
West Kalimantan,1955304
West Nusa Tenggara,1730602
West Papua,366869
West Sulawesi,437601
West Sumatra,2070602
