Location name,Amount spent (JPY)
Aichi Prefecture,13238
Akita Prefecture,1930
Aomori Prefecture,1549
Chiba Prefecture,19820
Ehime Prefecture,1809
Fukui Prefecture,1946
Fukuoka Prefecture,36753
Fukushima Prefecture,2782
Gifu Prefecture,11180
Gunma Prefecture,2724
Hiroshima Prefecture,4223
Hokkaido,10088
Hyōgo Prefecture,9737
Ibaraki Prefecture,4692
Ishikawa Prefecture,2486
Iwate Prefecture,2239
Kagawa Prefecture,1815
Kagoshima Prefecture,2389
Kanagawa Prefecture,35781
Kumamoto Prefecture,6550
Kyoto Prefecture,5761
Kōchi Prefecture,811
Mie Prefecture,2525
Miyagi Prefecture,10856
Miyazaki Prefecture,1747
Nagano Prefecture,4178
Nagasaki Prefecture,7730
Nara Prefecture,2355
Niigata Prefecture,11175
Okayama Prefecture,5259
Okinawa Prefecture,5914
Osaka Prefecture,18334
Saga Prefecture,4790
Saitama Prefecture,12365
Shiga Prefecture,2787
Shimane Prefecture,4226
Shizuoka Prefecture,6080
Tochigi Prefecture,2570
Tokushima Prefecture,1491
Tokyo,84262
Tottori Prefecture,3172
Toyama Prefecture,2142
Unknown,≤100
Wakayama Prefecture,1591
Yamagata Prefecture,2170
Yamaguchi Prefecture,3743
Yamanashi Prefecture,1745
Ōita Prefecture,5924
