Location name,Amount spent (IDR)
Aceh,913625
Bali,1791817
Bangka–Belitung Islands,409277
Banten,2619380
Bengkulu,691699
Central Java,6818019
Central Kalimantan,913409
Central Sulawesi,802688
East Java,6701268
East Kalimantan,1652336
East Nusa Tenggara,1208121
Gorontalo,470963
Jakarta,4451505
Jambi,1132544
Lampung,1496692
Maluku,643894
North Kalimantan,323536
North Maluku,527980
North Sulawesi,1395364
North Sumatra,3110228
Papua (province),607159
Riau,1965265
Riau Islands Province,971304
South Kalimantan,1192890
South Sulawesi,2584653
South Sumatra,1761297
Southeast Sulawesi,648243
Special Region of Yogyakarta,1017519
Unknown,506
West Java,8731023
West Kalimantan,1510174
West Nusa Tenggara,1144948
West Papua,291243
West Sulawesi,317718
West Sumatra,1185113
