Location name,Amount spent (HUF)
Baranya County,103475
Borsod-Abaúj-Zemplén County,141687
Budapest,898964
Bács-Kiskun County,105686
Békés County,72436
Csongrád County,104216
Fejér County,106982
Győr-Moson-Sopron County,125736
Hajdú-Bihar County,109320
Heves County,72233
Jász-Nagykun-Szolnok County,79850
Komárom-Esztergom County,75364
Nógrád County,46791
Pest County,446153
Somogy County,62391
Szabolcs-Szatmár-Bereg County,97288
Tolna County,50465
Unknown,4258
Vas County,71259
Veszprém County,71888
Zala County,68933
