Location name,Amount spent (EUR)
Central Finland,276
Central Ostrobothnia,≤100
Etelä-Savo,167
Kainuu,≤100
Kymenlaakso,183
Lapland (Finland),140
North Karelia,138
Northern Ostrobothnia,381
Ostrobothnia (region),199
Pirkanmaa,581
Pohjois-Savo,239
Päijät-Häme,254
Satakunta,194
South Karelia,193
Southern Ostrobothnia,192
Southwest Finland,507
Tavastia Proper,175
Unknown,≤100
Uusimaa,1933
Åland Islands,≤100
