Location name,Amount spent (JPY)
Aichi Prefecture,124973
Akita Prefecture,1499
Aomori Prefecture,1641
Chiba Prefecture,16458
Ehime Prefecture,1927
Fukui Prefecture,2445
Fukuoka Prefecture,25247
Fukushima Prefecture,3090
Gifu Prefecture,7624
Gunma Prefecture,5262
Hiroshima Prefecture,4476
Hokkaido,10763
Hyōgo Prefecture,19647
Ibaraki Prefecture,7698
Ishikawa Prefecture,3737
Iwate Prefecture,1830
Kagawa Prefecture,1821
Kagoshima Prefecture,3847
Kanagawa Prefecture,34824
Kumamoto Prefecture,3729
Kyoto Prefecture,10245
Kōchi Prefecture,1193
Mie Prefecture,5380
Miyagi Prefecture,11153
Miyazaki Prefecture,2370
Nagano Prefecture,3916
Nagasaki Prefecture,5401
Nara Prefecture,3858
Niigata Prefecture,5199
Okayama Prefecture,3817
Okinawa Prefecture,6315
Osaka Prefecture,90209
Saga Prefecture,3382
Saitama Prefecture,18008
Shiga Prefecture,4902
Shimane Prefecture,1074
Shizuoka Prefecture,11041
Tochigi Prefecture,4969
Tokushima Prefecture,1632
Tokyo,64742
Tottori Prefecture,792
Toyama Prefecture,2967
Unknown,≤100
Wakayama Prefecture,2319
Yamagata Prefecture,1869
Yamaguchi Prefecture,2733
Yamanashi Prefecture,1584
Ōita Prefecture,2474
