Location name,Amount spent (USD)
Azuay Province,557
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,175
Cotopaxi Province,212
El Oro Province,970
Esmeraldas Province,273
Galápagos Province,≤100
Guayas Province,3821
Imbabura Province,197
Loja Province,153
Los Ríos Province,912
Manabí Province,1195
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,143
Pastaza Province,≤100
Pichincha Province,1216
Santa Elena Province,206
Santo Domingo de los Tsáchilas Province,942
Sucumbíos Province,110
Tungurahua Province,245
Unknown,≤100
Zamora-Chinchipe Province,≤100
