Location name,Amount spent (PYG)
Alto Paraguay Department,112
Alto Paraná Department,179435
Amambay Department,10148
Asunción,136097
Boquerón department,3985
Caaguazú Department,69214
Caazapá Department,8593
Canindeyú Department,9253
Central Department,338307
Concepción Department (Paraguay),9962
Cordillera Department,22201
Guairá Department,9884
Itapúa Department,34093
Misiones Department,6820
Paraguarí Department,9744
Presidente Hayes Department,7449
San Pedro Department,17122
Unknown,2403
Ñeembucú Department,1237
