Location name,Amount spent (CAD)
Alberta,9759
British Columbia,12362
Manitoba,3619
New Brunswick,1725
Newfoundland and Labrador,809
Northwest Territories,≤100
Nova Scotia,1675
Nunavut,≤100
Ontario,25423
Prince Edward Island,312
Quebec,13155
Saskatchewan,2221
Unknown,≤100
Yukon,124
