Location name,Amount spent (PYG)
Alto Paraguay Department,580
Alto Paraná Department,148523
Amambay Department,10882
Asunción,119708
Boquerón department,25974
Caaguazú Department,99954
Caazapá Department,35333
Canindeyú Department,22661
Central Department,387770
Concepción Department (Paraguay),14844
Cordillera Department,37079
Guairá Department,20962
Itapúa Department,53582
Misiones Department,166249
Paraguarí Department,25134
Presidente Hayes Department,8055
San Pedro Department,54957
Unknown,≤100
Ñeembucú Department,18535
