Location name,Amount spent (RON)
Alba County,1242
Arad County,1495
Argeș County,1778
Bacău County,1517
Bihor County,2035
Bistrița-Năsăud County,896
Botoșani County,1210
Brașov County,2311
Brăila County,882
Bucharest,9965
Buzău County,1195
Caraș-Severin County,722
Cluj County,3831
Constanța County,3197
Covasna County,835
Călărași County,710
Dolj County,1804
Dâmbovița County,1999
Galați County,1630
Giurgiu County,682
Gorj County,1038
Harghita County,1032
Hunedoara County,1232
Ialomița County,582
Iași County,2769
Ilfov County,1474
Maramureș County,1486
Mehedinți County,622
Mureș County,2031
Neamț County,1676
Olt County,867
Prahova County,2281
Satu Mare County,985
Sibiu County,1747
Suceava County,1995
Sălaj County,725
Teleorman County,849
Timiș County,3022
Tulcea County,510
Unknown,≤100
Vaslui County,811
Vrancea County,777
Vâlcea County,1178
