Location name,Amount spent (COP)
Amazonas,728
Antioquia,1167611
Arauca,4893
Atlantico,379709
Bolivar,120740
Boyaca,20783
Caldas,58793
Caqueta,31139
Casanare,18436
Cauca,102731
Cesar,92414
Choco,6943
Cordoba,110906
Cundinamarca,194175
Distrito Especial,1934030
Guainia,386
Guaviare,1390
Huila,62792
La Guajira,35509
Magdalena,73090
Meta,84400
Narino,68058
Norte de Santander,333988
Putumayo,20032
Quindio,32430
Risaralda,334603
San Andres y Providencia,1898
Santander,68542
Sucre,22313
Tolima,139610
Unknown,255
Valle del Cauca,574832
Vaupes,306
Vichada,496
