Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
223287104715778,Oxfam,Oxfam,4252,4
590244531002882,Hon. Adan Keynan Wehliye,Yusuf Hashi Duale,2044,1
1400771023469241,Anne Waiguru,Gacigi Njagi Gacigi,1693,3
227862171115022,Better4Kenya,W.R.T.H.C LLC (hive),1439,7
149686932284314,Wisley Rotich,Wisley Kipyegon Rotich,987,1
2092419117716420,Kusi Ideas Festival,These ads ran without a disclaimer,854,1
186953574694992,Mudavadi Memorial Foundation Trust Fund,These ads ran without a disclaimer,622,1
1506723769658512,Susan Kihika,Susan Kihika,363,3
102324481269298,Hon. Zamzam Mohammed,Obed Nyang'ai,205,1
100552821298068,Newa Ethiopia,These ads ran without a disclaimer,≤100,2
106620807391911,Roche,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
1056162421085650,Research Features,These ads ran without a disclaimer,≤100,1
223287104715778,Oxfam,These ads ran without a disclaimer,≤100,3
104013541845788,Xinchen-Gerald Xu,These ads ran without a disclaimer,≤100,1
106750994048802,Perspectiva,These ads ran without a disclaimer,≤100,1
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
165999283464815,African Great Lakes Action Network (AGLAN),These ads ran without a disclaimer,≤100,1
1407738412662344,SABAA.education,These ads ran without a disclaimer,≤100,1
108946308560898,Mong to Vu dep170886,These ads ran without a disclaimer,≤100,1
147109888636038,Netafim,These ads ran without a disclaimer,≤100,1
984203991753488,Research Outreach,These ads ran without a disclaimer,≤100,1
