Location name,Amount spent (DKK)
Capital Region of Denmark,41433
Central Denmark Region,19723
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8683
Region of Southern Denmark,17773
Unknown,≤100
Zealand Region,14081
