Location name,Amount spent (HUF)
Baranya County,87621
Borsod-Abaúj-Zemplén County,107277
Budapest,510388
Bács-Kiskun County,95503
Békés County,62164
Csongrád County,110120
Fejér County,99250
Győr-Moson-Sopron County,90947
Hajdú-Bihar County,94974
Heves County,62881
Jász-Nagykun-Szolnok County,66108
Komárom-Esztergom County,67837
Nógrád County,33672
Pest County,236116
Somogy County,56613
Szabolcs-Szatmár-Bereg County,109683
Tolna County,45764
Unknown,≤100
Vas County,60746
Veszprém County,66203
Zala County,61625
