Location name,Amount spent (TRY)
Adana Province,3887
Adıyaman Province,300
Afyonkarahisar Province,360
Aksaray Province,412
Amasya Province,144
Ankara Province,3099
Antalya Province,2207
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,471
Ağrı Province,≤100
Balıkesir Province,700
Bartın Province,≤100
Batman Province,168
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,101
Burdur Province,≤100
Bursa Province,1399
Denizli Province,483
Diyarbakır Province,333
Düzce Province,128
Edirne Province,≤100
Elazığ Province,137
Erzincan Province,≤100
Erzurum Province,178
Eskişehir Province,553
Gaziantep Province,812
Giresun Province,196
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,1587
Isparta Province,214
Istanbul Province,8592
Iğdır Province,≤100
Kahramanmaraş Province,346
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,104
Kayseri Province,498
Kilis Province,≤100
Kocaeli Province,502
Konya Province,1166
Kütahya Province,174
Kırklareli Province,137
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,201
Manisa Province,600
Mardin Province,186
Mersin Province,1080
Muğla Province,833
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,113
Ordu Province,275
Osmaniye Province,300
Rize Province,167
Sakarya Province,190
Samsun Province,1356
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,197
Tekirdağ Province,301
Tokat Province,215
Trabzon Province,284
Tunceli Province,≤100
Unknown,≤100
Uşak Province,173
Van Province,184
Yalova Province,≤100
Yozgat Province,101
Zonguldak Province,221
Çanakkale Province,354
Çankırı Province,≤100
Çorum Province,158
İzmir Province,2481
Şanlıurfa Province,490
Şırnak Province,≤100
