Location name,Amount spent (GTQ)
Alta Verapaz Department,263
Baja Verapaz Department,≤100
Chimaltenango Department,130
Chiquimula Department,127
El Progreso Department,≤100
Escuintla Department,225
Guatemala Department,4957
Huehuetenango Department,257
Izabal Department,201
Jalapa Department,≤100
Jutiapa Department,166
Petén Department,123
Quetzaltenango Department,290
Quiché Department,167
Retalhuleu Department,≤100
Sacatepéquez Department,114
San Marcos Department,586
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,124
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,105
