Location name,Amount spent (TRY)
Adana Province,772
Adıyaman Province,129
Afyonkarahisar Province,511
Aksaray Province,136
Amasya Province,113
Ankara Province,2133
Antalya Province,1350
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,476
Ağrı Province,≤100
Balıkesir Province,486
Bartın Province,≤100
Batman Province,140
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,117
Burdur Province,≤100
Bursa Province,1589
Denizli Province,411
Diyarbakır Province,279
Düzce Province,139
Edirne Province,174
Elazığ Province,144
Erzincan Province,≤100
Erzurum Province,187
Eskişehir Province,407
Gaziantep Province,584
Giresun Province,194
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,614
Isparta Province,186
Istanbul Province,9579
Iğdır Province,≤100
Kahramanmaraş Province,349
Karabük Province,≤100
Karaman Province,127
Kars Province,≤100
Kastamonu Province,118
Kayseri Province,481
Kilis Province,≤100
Kocaeli Province,636
Konya Province,1139
Kütahya Province,194
Kırklareli Province,148
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,208
Manisa Province,470
Mardin Province,204
Mersin Province,927
Muğla Province,421
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,112
Ordu Province,289
Osmaniye Province,156
Rize Province,137
Sakarya Province,533
Samsun Province,589
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,168
Tekirdağ Province,343
Tokat Province,309
Trabzon Province,303
Tunceli Province,≤100
Unknown,≤100
Uşak Province,147
Van Province,140
Yalova Province,≤100
Yozgat Province,215
Zonguldak Province,208
Çanakkale Province,353
Çankırı Province,≤100
Çorum Province,160
İzmir Province,2045
Şanlıurfa Province,405
Şırnak Province,≤100
