Location name,Amount spent (DKK)
Capital Region of Denmark,48305
Central Denmark Region,34184
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,13474
Region of Southern Denmark,27157
Unknown,≤100
Zealand Region,17650
