Location name,Amount spent (PLN)
Greater Poland Voivodeship,3752
Kuyavian-Pomeranian Voivodeship,2287
Lesser Poland Voivodeship,3450
Lower Silesian Voivodeship,2857
Lublin Voivodeship,1623
Lubusz Voivodeship,862
Masovian Voivodeship,6729
Opole Voivodeship,855
Podkarpackie Voivodeship,1581
Podlaskie Voivodeship,814
Pomeranian Voivodeship,2320
Silesian Voivodeship,3966
Unknown,≤100
Warmian-Masurian Voivodeship,1012
West Pomeranian Voivodeship,1646
Łódź Voivodeship,2499
Świętokrzyskie Voivodeship,948
