Location name,Amount spent (HUF)
Baranya County,139080
Borsod-Abaúj-Zemplén County,193273
Budapest,925206
Bács-Kiskun County,156914
Békés County,104104
Csongrád County,161905
Fejér County,162609
Győr-Moson-Sopron County,142719
Hajdú-Bihar County,141556
Heves County,100621
Jász-Nagykun-Szolnok County,110725
Komárom-Esztergom County,102889
Nógrád County,48852
Pest County,456308
Somogy County,87780
Szabolcs-Szatmár-Bereg County,140269
Tolna County,81171
Unknown,159
Vas County,81685
Veszprém County,103118
Zala County,88520
