Location name,Amount spent (NGN)
Abia State,29140
Adamawa State,11507
Akwa Ibom State,15858
Anambra State,18035
Bauchi State,10046
Bayelsa State,2166
Benué State,8932
Borno State,12667
Cross River State,6454
Delta State,13750
Ebonyi State,4502
Edo State,38335
Ekiti State,4649
Enugu State,14951
Federal Capital Territory,64157
Gombe State,7617
Imo State,8818
Jigawa State,4496
Kaduna State,36268
Kano State,99381
Katsina State,9000
Kebbi State,3662
Kogi State,6526
Kwara State,18942
Lagos State,378004
Nasarawa State,8061
Niger State,10459
Ogun State,10907
Ondo State,8674
Osun State,10801
Oyo State,44058
Plateau State,14981
Rivers State,33874
Sokoto State,12031
Taraba State,6490
Unknown,1541
Yobe State,3352
Zamfara State,3049
