Location name,Amount spent (RON)
Alba County,699
Arad County,927
Argeș County,1105
Bacău County,1561
Bihor County,1212
Bistrița-Năsăud County,540
Botoșani County,607
Brașov County,1381
Brăila County,595
Bucharest,8673
Buzău County,667
Caraș-Severin County,495
Cluj County,2734
Constanța County,1391
Covasna County,350
Călărași County,379
Dolj County,1036
Dâmbovița County,813
Galați County,885
Giurgiu County,300
Gorj County,725
Harghita County,664
Hunedoara County,1068
Ialomița County,315
Iași County,1770
Ilfov County,1086
Maramureș County,1104
Mehedinți County,406
Mureș County,1014
Neamț County,1685
Olt County,497
Prahova County,1738
Satu Mare County,878
Sibiu County,1325
Suceava County,1125
Sălaj County,472
Teleorman County,357
Timiș County,1824
Tulcea County,316
Unknown,≤100
Vaslui County,493
Vrancea County,684
Vâlcea County,895
