Location name,Amount spent (EGP)
Al Sharqia Governorate,4260
Alexandria Governorate,5064
Aswan Governorate,782
Asyut Governorate,1763
Beheira Governorate,2577
Beni Suef Governorate,1116
Cairo Governorate,11331
Dakahlia Governorate,5151
Damietta Governorate,1478
Faiyum Governorate,1129
Gharbia Governorate,3561
Giza Governorate,3337
Ismailia Governorate,1114
Kafr el-Sheikh Governorate,1977
Luxor Governorate,516
Matrouh Governorate,226
Minya Governorate,1857
Monufia Governorate,2484
New Valley Governorate,206
North Sinai Governorate,359
Port Said Governorate,1215
Qalyubia Governorate,2798
Qena Governorate,1164
Red Sea Governorate,465
Sohag Governorate,2036
South Sinai Governorate,203
Suez Governorate,654
Unknown,≤100
