Location name,Amount spent (LBP)
Beirut Governorate,2129613
Beqaa Governorate,649320
Mount Lebanon Governorate,1472029
Nabatieh Governorate,338931
North Governorate,1112809
South Governorate,509017
Unknown,≤100
