Location name,Amount spent (ZAR)
Eastern Cape,3666
Free State,2009
Gauteng,18194
KwaZulu-Natal,5224
Limpopo,2467
Mpumalanga,2580
North West,1786
Northern Cape,554
Unknown,≤100
Western Cape,8169
