Location name,Amount spent (PKR)
Azad Kashmir,1305
Balochistan,1745
Federally Administered Tribal Areas,477
Gilgit-Baltistan,797
Islamabad Capital Territory,9158
Khyber Pakhtunkhwa,12427
Punjab,43231
Sindh,14395
Unknown,≤100
