Location name,Amount spent (INR)
Andaman and Nicobar Islands,411
Andhra Pradesh,62246
Arunachal Pradesh,3631
Assam,56264
Bihar,108664
Chandigarh,2769
Chhattisgarh,27152
Dadra and Nagar Haveli,2987
Delhi,136516
Goa,3278
Gujarat,152450
Haryana,62922
Himachal Pradesh,32805
Jammu and Kashmir,17213
Jharkhand,27534
Karnataka,97739
Kerala,39218
Lakshadweep,≤100
Madhya Pradesh,84054
Maharashtra,208091
Manipur,6922
Meghalaya,20533
Mizoram,3108
Nagaland,3122
Odisha,28884
Puducherry,3040
Punjab region,41362
Rajasthan,172686
Sikkim,1976
Tamil Nadu,60051
Telangana,40878
Tripura,13358
Unknown,≤100
Uttar Pradesh,186841
Uttarakhand,18009
West Bengal,108994
