Location name,Amount spent (CZK)
Central Bohemian Region,24866
Hradec Králové Region,11177
Karlovy Vary Region,5407
Liberec Region,9047
Moravian-Silesian Region,23023
Olomouc Region,12534
Pardubice Region,9893
Plzeň Region,11800
Prague,65400
South Bohemian Region,12522
South Moravian Region,31737
Unknown,≤100
Vysočina Region,8722
Zlín Region,10705
Ústí nad Labem Region,16921
