Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
1894520370802455,Governo do Brasil,Secretaria Especial de Comunicação Social -Governo do Brasil,53484,8
255804437808407,Vale,Vale,11496,20
465235726843103,Ambev,Ambev,10691,10
935263586487050,Corona,Ambev,7381,3
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,5758,97
425215080864180,Pfizer Brasil,Pfizer,5455,4
159103797542,Greenpeace Brasil,Greenpeace Brasil,3838,206
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,2810,260
239977579362882,Blue3 Investimentos,Blue3 Investimentos,2132,5
101189854802059,Revista Oeste,Revista Oeste,1881,6
111498884648739,Instituto Cultural Vale,Instituto Cultural Vale,1629,2
171342419582453,"CNC - Confederação Nacional do Comércio de Bens, Serviços e Turismo","CONFEDERACAO NACIONAL DO COMERCIO DE BENS, SERVICOS E TURISMO - CNC",1387,30
301774903545521,Brasil Paralelo,Brasil Paralelo,1360,26
106558185227603,BP Select,Brasil Paralelo Entretenimento e Educação S/A,1282,18
278181463019,Sebrae Minas,These ads ran without a disclaimer,1182,1
329948620416635,Marcelo Cid Heráclito Queiroz,Marcelo Cid Heráclito Queiroz,1113,6
113507215403008,Câmara Municipal de São Paulo,Câmara Municipal de São Paulo,1080,8
197698930267127,Alana,Instituto Alana,1047,186
352746774769940,Mercedes-Benz Caminhões,These ads ran without a disclaimer,1000,2
110458059014089,Brasil no Foco,Brasil no Foco,980,31
109272165397476,Gerson Aragao,SCIREJUS APLICATIVOS JURIDICOS LTDA,828,32
131844590198876,Prefeitura de Porto Alegre,Prefeitura Municipal de Porto Alegre,761,5
115558703488480,IDP Online,Instituto Brasiliense de Direito Publico,738,110
163893463708223,Marcelo Vitorino,Vitorino & Mendonça,645,28
330379553673497,Oxfam Brasil,Oxfam Brasil,638,66
224021551012451,Gerando Falcões,Gerando Falcões,632,21
258088921369,TOTVS,TOTVS,616,5
163852833738546,Vinicius Camarinha,Vinicius Camarinha,615,2
113165042099382,Brasil 61,Brasil 61,610,23
170238043113891,Professor Rômulo Passos,Romulo Silva Passos,579,33
150897651635768,Governo do Estado do Ceará,OUTCOME DIGITAL STRATEGY,560,1
414416895383029,Juliano Medeiros,Juliano Medeiros,476,11
194918207213417,IMP Concursos,IMP Concursos,467,4
106788032190540,Alan Lopes Rio,Alan Lopes Rio,445,8
196791070788913,Robson Zanetti Advogado,Robson Zanetti,442,9
520803328039440,Recicla Sampa,Eco Urbis e Loga,427,55
124463777940096,Deputado Roberto Costa,Jose Roberto Costa Santos,423,11
110647840532680,Merge Mayor,These ads ran without a disclaimer,413,1
104127645777846,Índia Armelau,Índia Armelau,399,4
343655492351770,Associação Brasileira de Apoiadores Beneméritos do Teatro Guaíra,Associação Brasileira de Apoiadores Beneméritos do Teatro Guaíra,388,6
337834286345988,Fundação Milton Campos,Fundação Milton Campos,371,3
115931765148387,Assembleia Legislativa de Minas Gerais,Assembleia Legislativa Do Estado De Minas Gerais,366,8
111186368956008,Academia Brasileira de Direito Constitucional,ABDConst,364,52
110225312350543,Nova Escola,Associação Nova Escola,353,17
104738421003389,InvestNews BR,Easynvest,345,8
187970114581051,Anistia Internacional Brasil,Anistia Internacional Brasil,343,60
1706482512937484,Bruno Engler,Deputado Estadual Bruno Engler,339,2
224777780881144,Visão Mundial,Visão Mundial,333,14
347460535353050,PNB Online,PNB Online,329,5
102638061835527,Brasil News 1,Diário MS News,328,2
194875410645035,Centro Universitário UniDomBosco,These ads ran without a disclaimer,314,2
7970426802,WWF-Brasil,WWF-Brasil,303,29
691350010910586,Mercedes-Benz Ônibus,These ads ran without a disclaimer,300,2
314916388685112,Deputado Val Ceasa,Deputado Val Ceasa,300,1
163893463708223,Marcelo Vitorino,IDP,296,21
865232070270799,Capitão Alberto Neto,Deputado Federal Capitão Alberto Neto,295,11
465508674236677,Edmar Ptak,Edmar Ptak Guimaraes,280,8
360125334431298,Renova BR,ASSOCIAÇÃO RENOVA BR,279,10
1594613884123934,IDIB,INSTITUTO DE DESENVOLVIMENTO INSTITUCIONAL BRASILEIRO - IDIB,276,3
